hub,intervention_type,donor,report_date,distribution_date,planned_implemented,activity,regularity,duration_assistance,quantity,unit,families,beneficiaries,rapid_assessment,governorate,district,sub_district,site,village_camps,camp_name,reception_centre_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,location_pcode,location_type,longitude_x,latitude_y,partner_code
NWS,Earthquake,Action for Humanity,2023-02-10T00:00:00Z,2023-02-06T00:00:00Z,Implemented,Cooked Meals,NA,1,3,KG,40,210,N/A,Idleb,Harim,Armanaz,Armanaz,In the Village,NA,NA,SY07,SY0703,SY070305,C4176,C4176,Community,36.502023,36.084016,NA
NWS,Earthquake,Action for Humanity,2023-02-10T00:00:00Z,2023-02-06T00:00:00Z,Implemented,Cooked Meals,NA,1,3,KG,50,250,N/A,Idleb,Harim,Armanaz,Milis,In the Village,NA,NA,SY07,SY0703,SY070305,C4184,C4184,Community,36.487717,36.005116,NA
NWS,Earthquake,Action for Humanity,2023-02-10T00:00:00Z,2023-02-06T00:00:00Z,Implemented,Cooked Meals,NA,1,3,KG,50,250,N/A,Aleppo,Jebel Saman,Atareb,Atareb,In the Village,NA,NA,SY02,SY0200,SY020001,C1022,C1022,Community,36.828382,36.137884,NA
NWS,Earthquake,Action for Humanity,2023-02-10T00:00:00Z,2023-02-06T00:00:00Z,Implemented,Cooked Meals,NA,1,3,KG,60,300,N/A,Idleb,Harim,Harim,Harim,In the Village,NA,NA,SY07,SY0703,SY070300,C4115,C4115,Community,36.520746,36.212594,NA
NWS,Earthquake,Action for Humanity,2023-02-10T00:00:00Z,2023-02-06T00:00:00Z,Implemented,Free Bread Distribution,NA,1,3,KG,100,500,N/A,Idleb,Harim,Dana,Sarmada,In the Village,NA,NA,SY07,SY0703,SY070301,C4121,C4121,Community,36.723929,36.186604,NA
NWS,Earthquake,Private donor,2023-02-12T00:00:00Z,2023-02-06T00:00:00Z,Implemented,Cooked Meals,NA,1,3,KG,129,645,Yes,Idleb,Harim,Dana,Sarmada,In the Village,NA,NA,SY07,SY0703,SY070301,C4121,C4121,Community,36.723929,36.186604,CBR-041
NWS,Earthquake,Private donor,2023-02-14T00:00:00Z,2023-02-06T00:00:00Z,Implemented,Cooked Meals,NA,4,3,KG,500,1500,Yes,Aleppo,Afrin,Jandairis,Jandairis,In the Village,NA,NA,SY02,SY0203,SY020302,C1426,C1426,Community,36.689563,36.392488,NA
NWS,Earthquake,king salman fund,2023-03-13T00:00:00Z,2023-02-06T00:00:00Z,Implemented,Food Baskets,One Off Distribution,30,40,KG,62,372,Yes,Aleppo,A'zaz,Suran,Suran (Aleppo),In the Camp,مخيم الفاتح,NA,SY02,SY0204,SY020405,C1664,C1664,Community,37.213933,36.566643,NA
NWS,Earthquake,king salman fund,2023-03-13T00:00:00Z,2023-02-06T00:00:00Z,Implemented,Food Baskets,One Off Distribution,30,40,KG,50,300,Yes,Aleppo,Afrin,Sharan,Sharan (Sharan),In the Camp,مخيم الشط,NA,SY02,SY0203,SY020304,C1497,C1497,Community,36.9416,36.621308,NA
NWS,Earthquake,N/A,2023-02-21T00:00:00Z,2023-02-06T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,5,KG,200,1000,Yes,Idleb,Idleb,Idleb,Idleb,In the Village,NA,NA,SY07,SY0700,SY070000,C3871,C3871,Community,36.635276,35.929008,NA
NWS,Earthquake,Action for Humanity,2023-02-10T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Cooked Meals,NA,1,3,KG,200,1000,N/A,Idleb,Harim,Harim,Harim,In the Village,NA,NA,SY07,SY0703,SY070300,C4115,C4115,Community,36.520746,36.212594,NA
NWS,Earthquake,Action for Humanity,2023-02-10T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Cooked Meals,NA,1,3,KG,200,1000,N/A,Aleppo,Afrin,Jandairis,Jandairis,In the Village,NA,NA,SY02,SY0203,SY020302,C1426,C1426,Community,36.689563,36.392488,NA
