number,governorate,district,sub_district,community,latitude_y,longitude_x,temp_code,site_name,type_of_location,shelter_details,newly_established_yn,date_of_input,planned_capacity_hh,families,individuals,girls_children_under_18_18,boys_children_under_18_18,women_female_adults,men_male_adults,full_name,phone,organization_name,comments,cccm,shelter,nfi,wash,fsl,education,cash,protection,nutrition,erl,health,severity_scale_wash_fsl_health_shelter,cccm_2,shelter_2,nfi_2,wash_2,fsl_2,education_2,cash_2,protection_2,nutrition_2,erl_2,health_2,cccm_3,cccm_contact,shelter_3,shelter_contact,nfi_3,nfi_contact,wash_3,wash_contact,fsl_3,fsl_contact,education_3,fsl_contact_2,cash_3,education_contact,protection_3,protection_contact,nutrition_3,nutrition_contact,erl_3,erl_contact,health_3,health_contact,status,admin4pcode,admin1pcode,site_name_ar,admin3pcode,geometry
1,Idleb,Idleb,Maaret Tamsrin,Kelly,36.13064,36.0678166,CP002270,Al ZohoorHuman appeal reception center,Reception Center  ,Tents,Yes ,4595328-03-13,1000,965,5272,1421,1492,1204,1155,Abu Hossam,3526811513921,Human appeal,NA,0.25,NA,0.5,0.5,1,1,1,1,NA,0.5,NA,0.625,NA,Human Appeal,MHD,Shafak organization,NA,NA,NA,NA,Human Appeal,Human Appeal,Human Appeal,ابو صالح,352681125400,احمداسماعيل,963945038299,عبدالستار الصالح,963965328359,سامر السعيد,352681565877,NA,NA,NA,NA,NA,NA,NA,NA,محمد السلوم,966997737794,احمد اسماعيل,963945038299,رحمون جابر,963946913909,open,C3949,SY07,NA,NA,"c(NA, NA)"
2,Idleb,Harim,Dana,Atma,36.318732,36.66532,CP000823,Ikraa  ,Planned Camp  ,Tents,Yes ,4595328-03-13,62,62,320,99,85,71,65,Ali shuhaduh,963965000000,Relief Directorate,The center consists of tents built inside Iqra camp cp000823,0,NA,0.5,0.5,NA,1,0,1,1,NA,1,0.625,NA,Palestine Authority,Green Hands Organization,Green Hands Organization,Ataa and Darna,NA,Child care association,NA,NA,Iqraa,NA,علي شحادة,963964783105,ايو عمر,352681610006,احمد المكسور,905317313989,انس الخطيب,905318267270,محمد مشقر,963949727154,NA,NA,Abu Ossama,352681149722+,NA,NA,NA,اقرأ,352681582882+,NA,NA,NA,open,C4130,SY07, اقراء,NA,"c(NA, NA)"
3,Idleb,Harim,Dana,Deir Hassan - Darhashan _,36.245725,36.76735,CP001989,Affad  ,Planned Camp  ,Cement construction,Yes ,4595328-03-13,750,40,209,62,56,48,43,Ahmed Abdel Aziz Al-Ali,352681570517,Development Directorate,"The shelter is temporary, and the Directorate of Development will transfer the families to nearby camps within the village of Mashhad Rohin",NA,NA,NA,NA,1,1,1,1,1,1,1,0.5,NA,NA,MHD,Syria Relief,NA,NA,NA,NA,NA,NA,NA,خليل,NA,NA,NA,عبد الستار,NA,نايف السلوم,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,SY07, أفاد,SY070301,"c(36.76735, 36.245725)"
4,Idleb,Harim,Dana,Burdaqly,36.234936,36.683145,CP001801,saad RC,Reception Center  ,Tents,Yes ,4595328-03-13,38,90,450,135,130,95,90,Mohamed Ahmed Ezz El-Din,905312069805,NA,The site is next to Bardaqli camp (Al-Marj),NA,NA,NA,1,0.5,1,0.6,1,1,1,0.6,0.475,NA,White Hands Organization,NRC,NA,Ehsan Organization,NA,Child care association,NA,NA,NA,A mobile clinic affiliated to Relief International,محمد احمد عز الدين,90598206531,منظمه هيئه العمل الفلسطيني,9537773419,عنايات النمر,90537451194,لايوجد,NA,اياد الصطوف,6282375782664,NA,NA,Suleiman Fares,9053773419,NA,NA,NA,NA,NA,NA,ضياء بسيريني +44 7440 020477,NA,open,C6693,SY07,NA,SY070301,"c(36.683145, 36.234936)"
5,Idleb,Harim,Dana,Qah,36.294221,36.709518,TEMP001,Iqraa Center,Planned Camp  ,Tents,Yes ,4595328-03-13,70,70,400,115,145,70,70,Mostafa Najm,905379466614,Relief Directorate,"The center was established by the Palestine Authority (Khair Ummah Organization) in cooperation with the Camps Administration.
 The center within the well-known educational village of Hope Campus is not registered. The center has an independent administration",1,NA,NA,NA,NA,1,NA,1,1,1,NA,1,NA,Palestine Authority,Violet organization,ACTED,Mercy Organization,NA,ACTED,NA,NA,NA,NA,Mostafa Najm,905379466614,Abo Omar Alqudsi,352681610006,Abo Ahmad,77471686584,Alaa Alismael,352681503295,Huzaifa Alkhateeb,352681149544,NA,NA,Mamer Khattab,352681147090,NA,NA,NA,NA,NA,NA,NA,NA,open,C4131,SY07,NA,SY070301,"c(36.709518, 36.294221)"
6,Idleb,Harim,Dana,Mashhad Ruhin ,36.270253,36.73817,TEMP002,alnuwr Center,Informal Site  ,Tents,Yes ,4595328-03-13,110,110,275,71,55,79,70,Khaled Shoman,46727823889,Relief Directorate,"55 families were transferred from the Saaed Center to a private land west of Mashhad Rouhin, 
 and it was named (Al-Nour Center), and the other part of the families were transferred to Kelly.",NA,NA,NA,1,1,1,1,1,1,1,1,0.25,NA,Relief Directorate,MHD,NA,NA,NA,NA,NA,NA,NA,NA,خالد,72 782 38 89,خالد شومان,72 782 38 89,965 328 359,عبدالستار الصالح,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,SY07,NA,SY070301,"c(36.73817, 36.270253)"
7,Idleb,Harim,Dana,Qah,36.282379,36.733727,CP000667,Kafr nboda Center,Planned Camp  ,Tents,Yes ,4595328-03-13,103,103,515,125,95,160,135,Abu al-Hakam,905353699285,Relief Directorate,The site is next to Wadi Alghazal / وادي الغزال,NA,NA,NA,0,1,1,1,1,1,NA,1,0.5,NA,WATAN,Watan,ACTED,NA,NA,NA,NA,NA,WATAN,NA,محمد,40 460 83 96,محمد خطاب,905343121635,محمد خطاب,905343121635,سلمان سلامه,352681535329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,محمد خطاب,905343121635,NA,NA,open,C4131,SY07,NA,SY070301,"c(36.733727, 36.282379)"
8,Idleb,Harim,Harim,   Ain Bakara,36.196241,36.41137,TEMP003,Ain Albakkara Center,Collective Center  ,Tents,Yes ,4595328-03-13,120,119,670,180,175,160,155,Rami Al-Shami,37066143849,Relief office in Salqin,NA,1,NA,1,NA,1,1,1,1,1,1,1,0.5,NA,Syria Relief,NA,Syria Relief,NA,NA,NA,NA,NA,NA,NA,NA,NA,احمد العبدالله,963941579654,NA,NA,احمد العبدالله,963941579654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,NA,SY07,NA,SY070302,"c(36.41137, 36.196241)"
9,Idleb,Harim,Salqin,Salqin,36.139777,36.445345,TEMP004,Hadikat al kaser Center,Collective Center  ,Tents,Yes ,4595328-03-13,210,311,1665,450,400,425,390,Rami Al-Shami,37066143849,Relief office in Salqin,NA,1,NA,NA,NA,1,1,1,1,1,1,1,0.5,NA,Ehsan Organization,Ehsan Organization,Ehsan Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,محمد الشيخ,905386470554,محمد الشيخ,905386470554,محمد الشيخ,905386470554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,C4140,SY07,NA,SY070302,"c(36.445345, 36.139777)"
10,Idleb,Harim,Salqin,Salqin,36.160526,36.38855,TEMP005,Alallani Group,Collective Center  ,Tents,Yes ,4595328-03-13,150,111,610,170,160,145,135,Rami Al-Shami,37066143849,Relief office in Salqin,NA,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,C4140,SY07,NA,SY070302,"c(36.38855, 36.160526)"
