admin1pcode,admin4pcode,sub_district,site,longitude_x,latitude_y,persons,type,temp_code
SY02,C1021,Atareb,Babka,36.753668,36.14206,235,Beneficiaries,NA
SY02,C1022,Atareb,Atareb,36.828382,36.137884,9505,Beneficiaries,NA
SY02,C1025,Atareb,Batbu,36.739787,36.133376,1000,Beneficiaries,NA
SY02,C1032,Atareb,Jeineh,36.801449,36.117087,1000,Beneficiaries,NA
SY02,C1036,Atareb,Kafr Naseh Elatareb,36.788264,36.135897,1000,Beneficiaries,NA
SY02,C1038,Atareb,Maaret Atarib,36.81829,36.157567,1000,Beneficiaries,NA
SY02,C1041,Atareb,Kafr Noran,36.832155,36.078046,1000,Beneficiaries,NA
SY02,C1139,Daret Azza,Daret Azza,36.851091,36.285021,2100,Beneficiaries,NA
SY02,C1188,Al Bab,Bazagha,37.5661,36.383375,650,Beneficiaries,NA
SY02,C1202,Al Bab,Al Bab,37.514925,36.369722,777,Beneficiaries,NA
SY02,C1209,Al Bab,Qabasin,37.566282,36.433731,250,Beneficiaries,NA
SY02,C1359,Afrin,Sheikh Eldeir,36.829344,36.368746,375,Beneficiaries,NA
SY02,C1366,afrin,Afrin (Afrin),36.865523,36.511094,590,Beneficiaries,NA
SY02,C1366,Afrin,Afrin (Afrin),36.865523,36.511094,9265,Beneficiaries,NA
SY02,C1381,Afrin,Kawkabeh (Afrin),36.836422,36.45174,375,Beneficiaries,NA
SY02,C1388,Afrin,Kafr Batra,36.81369,36.462979,375,Beneficiaries,NA
SY02,C1391,Bulbul,Bulbul,36.819347,36.769656,950,Beneficiaries,NA
SY02,C1419,Jandairis,Sheikh Abel Rahman,36.763546,36.431499,865,Beneficiaries,NA
SY02,C1421,Jandairis,Jum Afrin,36.713316,36.451901,950,Beneficiaries,NA
SY02,C1422,Jandairis,Ramadiyeh (Jandairis),36.745457,36.399148,2465,Beneficiaries,NA
SY02,C1424,Jandairis,Jalma (Jandairis),36.770047,36.357144,200,Beneficiaries,NA
SY02,C1426,Jandairis,Jandairis,36.689563,36.392488,30770,Beneficiaries,NA
SY02,C1428,Jandairis,Burj Kmush,36.711932,36.429095,645,Beneficiaries,NA
SY02,C1432,Jandairis,Kharzan,36.734461,36.471991,150,Beneficiaries,NA
SY02,C1433,Jandairis,Tal Slur,36.722157,36.365517,150,Beneficiaries,NA
SY02,C1435,Jandairis,Deir Ballut,36.664883,36.339706,1335,Beneficiaries,NA
SY02,C1436,Jandairis,Western Khaltan,36.70773,36.480833,475,Beneficiaries,NA
SY02,C1438,Jandairis,Zanda,36.694587,36.418609,200,Beneficiaries,NA
SY02,C1439,Jandairis,Nisriyeh,36.641227,36.350866,515,Beneficiaries,NA
SY02,C1441,Jandairis,Eastern Eshkan,36.732657,36.460964,550,Beneficiaries,NA
SY02,C1444,Jandairis,Upper Maskeh,36.693584,36.45517,155,Beneficiaries,NA
SY02,C1445,Jandairis,Kordan,36.675934,36.470447,200,Beneficiaries,NA
SY02,C1446,Jandairis,Freiriyeh,36.770773,36.399595,105,Beneficiaries,NA
SY02,C1447,Jandairis,Koran Jandris,36.673392,36.43962,360,Beneficiaries,NA
SY02,C1449,Jandairis,Kafr Safra,36.66183,36.427593,50,Beneficiaries,NA
SY02,C1495,Sharan,Dama - Ayki Dam,37.029497,36.730563,55,Beneficiaries,NA
SY02,C1497,Sharan,Sharan (Sharan),36.9416,36.621308,4945,Beneficiaries,NA
SY02,C1498,Sharan,Tal Elosud,36.894931,36.554592,710,Beneficiaries,NA
SY02,C1501,Sharan,Little Hallubi,36.885332,36.603605,170,Beneficiaries,NA
SY02,C1506,Sharan,Doraq,36.910096,36.706494,40,Beneficiaries,NA
SY02,C1508,Sharan,Ser - Sarnjak,36.911255,36.725783,35,Beneficiaries,NA
SY02,C1512,Sharan,Ali Bazan,36.919482,36.652046,185,Beneficiaries,NA
SY02,C1518,Sharan,Kafr Janna,36.949674,36.584073,1755,Beneficiaries,NA
SY02,C1520,Sharan,Mashaala,36.929945,36.578595,2055,Beneficiaries,NA
SY02,C1521,Sharan,Qastal Jend,37.017854,36.632044,130,Beneficiaries,NA
SY02,C1522,Sharan,Kafroum,36.859188,36.590325,90,Beneficiaries,NA
SY02,C1524,Sharan,Qatmet Efrin,36.963116,36.587216,1105,Beneficiaries,NA
SY02,C1552,Ma'btali,Ma'btali,36.736791,36.563264,1400,Beneficiaries,NA
SY02,C1555,Ma'btali,Yakhur - Ayki Yakhur,36.704232,36.51471,705,Beneficiaries,NA
SY02,C1564,A'zaz,Azaz,37.04316,36.584872,3505,Beneficiaries,NA
SY02,C1573,A'zaz,Nayara,37.110584,36.608169,690,Beneficiaries,NA
SY02,C1643,Mare',Mare',37.196486,36.482688,1000,Beneficiaries,NA
SY02,C2227,Jarablus,Jarablus,38.009919,36.814478,2005,Beneficiaries,NA
SY02,C6397,Jandairis,Hmlak-Hmelek,36.721556,36.398836,925,Beneficiaries,NA
SY02,C6398,Jandairis,Tatara-Tataranli,36.655623,36.499755,375,Beneficiaries,NA
SY02,C7490,Jandairis,Koban,36.671902,36.457256,390,Beneficiaries,NA
SY02,C7522,Ma'btali,Kantara Ma'abatli,36.72849,36.562487,200,Beneficiaries,NA
SY02,C8135,Jandairis,Mhamadia,36.681836,36.347197,230,Beneficiaries,NA
SY02,C8150,Jandairis,Hajilar,36.71882,36.385784,200,Beneficiaries,NA
SY02,C8151,Jandairis,Abu Ka'ab,36.740602,36.386379,75,Beneficiaries,NA
SY02,C8156,Jandairis,Baflur,36.665505,36.398592,300,Beneficiaries,NA
SY02,C8166,Jandairis,Hikageh,36.601585,36.435708,350,Beneficiaries,NA
SY02,C8184,Jandairis,Haji Hasanli,36.653081,36.484728,650,Beneficiaries,NA
SY07,C3871,Idleb,Idleb,36.635276,35.929008,17545,Beneficiaries,NA
SY07,C3938,Maaret Tamsrin,Zardana Mashehad,36.755304,36.045712,1479,Beneficiaries,NA
SY07,C3944,Maaret Tamsrin,Hazano,36.713577,36.089778,1500,Beneficiaries,NA
SY07,C3949,Maaret Tamsrin,Kelly,36.69463,36.108118,1570,Beneficiaries,NA
SY07,C3950,Maaret Tamsrin,Maaret Elekhwan,36.674353,36.063862,1038,Beneficiaries,NA
SY07,C3951,Maaret Tamsrin,Kaftin,36.679597,36.09584,160,Beneficiaries,NA
SY07,C4115,Harim,Harim,36.520746,36.212594,24301,Beneficiaries,NA
SY07,C4121,Dana,Sarmada,36.723929,36.186604,6930,Beneficiaries,NA
SY07,C4123,Dana,Selwa,36.757238,36.30817,275,Beneficiaries,NA
SY07,C4124,Dana,Tilaada,36.800669,36.251766,500,Beneficiaries,NA
SY07,C4125,Dana,Termanin,36.815206,36.228402,4194,Beneficiaries,NA
SY07,C4126,Dana,Dana (Dana),36.76958,36.213601,23971,Beneficiaries,NA
SY07,C4127,Dana,Aqrabat (Dana),36.70786,36.269945,1590,Beneficiaries,NA
SY07,C4129,Dana,Deir Hassan - Darhashan,36.762754,36.233725,3230,Beneficiaries,NA
SY07,C4130,Dana,Atma,36.689846,36.309771,11615,Beneficiaries,NA
SY07,C4131,Dana,Qah,36.725165,36.296273,180,Beneficiaries,NA
SY07,C4134,Salqin,Hamziyeh,36.386434,36.103764,1955,Beneficiaries,NA
SY07,C4140,Salqin,Salqin,36.453694,36.139048,45333,Beneficiaries,NA
SY07,C4142,Salqin,Allani,36.389057,36.160124,5195,Beneficiaries,NA
SY07,C4143,salqin,Azmarin,36.401422,36.055985,2100,Beneficiaries,NA
SY07,C4143,Salqin,Azmarin,36.401422,36.055985,9862,Beneficiaries,NA
SY07,C4147,Salqin,Betiya,36.388647,36.075831,950,Beneficiaries,NA
SY07,C4148,Salqin,Tellemar,36.417177,36.057763,2000,Beneficiaries,NA
SY07,C4157,Kafr Takharim,Kafr Takharim,36.51543,36.116497,1386,Beneficiaries,NA
SY07,C4164,Qourqeena,Barisha,36.636461,36.165243,1500,Beneficiaries,NA
SY07,C4167,Qourqeena,Ras Elhisn,36.646584,36.196478,75,Beneficiaries,NA
SY07,C4174,Qourqeena,Qourqeena,36.61267,36.138546,1836,Beneficiaries,NA
SY07,C4176,Armanaz,Armanaz,36.502023,36.084016,2574,Beneficiaries,NA
SY07,C4184,Armanaz,Milis,36.487717,36.005116,3700,Beneficiaries,NA
SY07,C4199,Jisr-Ash-Shugur,Jisr-Ash-Shugur,36.314953,35.814181,1005,Beneficiaries,NA
SY07,C4242,Darkosh,Ramadiyeh (Darkosh),36.398463,36.034656,240,Beneficiaries,NA
SY07,C4252,Darkosh,Darkosh,36.393373,35.992443,504,Beneficiaries,NA
SY07,C4255,Janudiyeh,Janudiyeh,36.291357,35.882903,750,Beneficiaries,NA
SY07,C4256,Janudiyeh,Yaqubiyeh,36.314485,35.921929,36,Beneficiaries,NA
SY07,C4260,Janudiyeh,Qanniyeh (Janudiyeh),36.319267,35.922078,441,Beneficiaries,NA
SY07,C4263,Janudiyeh,Foz - Zuf,36.234349,35.941613,4560,Beneficiaries,NA
SY07,C4266,Janudiyeh,Athar,36.245829,35.913668,528,Beneficiaries,NA
